                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4794,                 2.9194,                 1.4165,                 1.3733,                 3.2993,                 1.3106,                0.02058,                0.48985,                0.07356,                0.04025,                 1.1352,                 3.3301,                  1.158,                 1.0261,                 3.7947,                 1.1062,             0.00036192,             0.00036192,             0.00036192
                      2,                 1.2626,                 1.4964,                 1.2813,                 1.1995,                 2.1983,                 1.1866,                0.46382,                0.17266,                 0.1482,                0.07753,                 1.2389,                  2.626,                 1.2592,                 1.1472,                 3.3156,                 1.1764,             0.00072742,             0.00072742,             0.00072742
                      3,                 1.2092,                 1.3166,                 1.2373,                 1.2119,                 1.9472,                 1.1831,                0.27831,                 0.2103,                0.16568,                0.09159,                 1.3756,                 2.2485,                 1.3272,                 1.2841,                  2.754,                 1.2241,               0.001088,               0.001088,               0.001088
                      4,                  1.198,                 1.2557,                 1.2179,                 1.2212,                 1.7573,                 1.1774,                0.27282,                0.34497,                0.22248,                0.11743,                 1.2597,                 2.1627,                 1.2939,                  1.226,                 2.4407,                 1.2554,               0.001089,               0.001089,               0.001089
                      5,                  1.164,                 1.2065,                 1.1989,                 1.2079,                 1.6127,                 1.1743,                0.30972,                0.30344,                0.19166,                0.08916,                 1.3596,                   2.44,                  1.365,                 1.3635,                 2.7805,                 1.3227,               0.001089,               0.001089,               0.001089
                      6,                 1.1429,                 1.1507,                 1.1855,                 1.1977,                 1.4996,                 1.1658,                0.30067,                0.34578,                0.22856,                0.11906,                 1.2203,                 2.3172,                  1.252,                 1.2533,                 2.5657,                 1.2328,              0.0010817,              0.0010817,              0.0010817
                      7,                 1.1241,                  1.125,                 1.1739,                 1.1896,                 1.4367,                 1.1617,                0.34873,                0.36368,                0.26482,                0.14125,                 1.1266,                 2.5924,                  1.184,                 1.1393,                 2.7286,                 1.1531,              0.0010743,              0.0010743,              0.0010743
                      8,                 1.1146,                 1.0823,                 1.1645,                 1.1836,                 1.3609,                 1.1533,                0.32455,                0.42172,                 0.2708,                 0.1424,                 1.1231,                 2.6292,                 1.1731,                 1.1374,                   2.75,                 1.1456,               0.001067,               0.001067,               0.001067
                      9,                 1.1143,                 1.0891,                 1.1654,                 1.1892,                 1.3607,                 1.1562,                0.37085,                0.34222,                0.27779,                0.14739,                 1.1492,                 2.2054,                 1.2288,                 1.1806,                 2.4063,                 1.1974,              0.0010597,              0.0010597,              0.0010597
                     10,                 1.0885,                 1.0577,                 1.1511,                 1.1677,                 1.3112,                 1.1455,                0.31775,                0.36805,                0.24586,                0.12752,                 1.1499,                 2.9379,                    1.2,                 1.1743,                 3.1125,                 1.1763,              0.0010523,              0.0010523,              0.0010523
                     11,                 1.0808,                 1.0226,                 1.1457,                 1.1635,                 1.2604,                 1.1403,                0.35058,                0.42842,                 0.2926,                0.15451,                 1.1184,                  2.476,                 1.1713,                 1.1352,                  2.644,                 1.1623,               0.001045,               0.001045,               0.001045
                     12,                 1.0641,                0.99952,                 1.1344,                 1.1496,                 1.2217,                 1.1313,                  0.352,                0.37209,                0.24586,                0.12622,                 1.1629,                 2.6475,                 1.2076,                   1.18,                 2.8893,                 1.1755,              0.0010377,              0.0010377,              0.0010377
                     13,                 1.0576,                0.99108,                 1.1305,                 1.1447,                 1.2075,                 1.1317,                0.39318,                0.42485,                0.29662,                 0.1507,                  1.154,                 2.7381,                 1.1974,                 1.1594,                  3.008,                  1.164,              0.0010303,              0.0010303,              0.0010303
                     14,                 1.0672,                0.98197,                 1.1335,                 1.1517,                  1.191,                 1.1339,                0.40059,                0.35846,                0.26777,                0.13156,                 1.3079,                 2.4876,                 1.2714,                 1.3159,                 2.6282,                 1.2531,               0.001023,               0.001023,               0.001023
                     15,                 1.0584,                0.97788,                  1.128,                  1.148,                 1.1857,                 1.1285,                0.39311,                0.41649,                0.30794,                0.16032,                 1.1369,                 2.4482,                 1.1927,                 1.1302,                  2.629,                 1.1586,              0.0010157,              0.0010157,              0.0010157
                     16,                  1.046,                0.94986,                 1.1194,                 1.1384,                 1.1541,                 1.1225,                0.39878,                0.39127,                0.29097,                0.15059,                 1.1533,                 2.7954,                 1.1933,                 1.1615,                  2.818,                 1.1644,              0.0010083,              0.0010083,              0.0010083
                     17,                 1.0418,                0.95645,                 1.1206,                 1.1373,                 1.1617,                 1.1281,                0.42351,                0.46291,                0.34733,                0.18113,                 1.1684,                 2.2826,                 1.1969,                  1.178,                 2.4078,                  1.171,               0.001001,               0.001001,               0.001001
                     18,                 1.0357,                0.93373,                 1.1145,                 1.1329,                 1.1254,                 1.1218,                0.36535,                0.41089,                 0.2875,                0.14727,                 1.1626,                 2.7695,                 1.2039,                 1.1643,                 2.7922,                 1.1804,             0.00099368,             0.00099368,             0.00099368
                     19,                 1.0319,                0.91878,                  1.112,                 1.1267,                 1.0995,                 1.1168,                0.38293,                0.45674,                0.32722,                0.17413,                 1.1219,                 2.4507,                 1.1758,                 1.1351,                  2.543,                 1.1439,             0.00098635,             0.00098635,             0.00098635
                     20,                 1.0221,                0.89725,                 1.1039,                 1.1213,                 1.0759,                 1.1094,                0.42162,                0.42226,                0.31875,                0.16779,                 1.2036,                 2.3552,                 1.2061,                 1.2245,                  2.452,                 1.1794,             0.00097901,             0.00097901,             0.00097901
                     21,                 1.0223,                0.90492,                 1.1074,                 1.1253,                 1.0871,                 1.1128,                 0.4107,                0.39343,                 0.3197,                0.17019,                 1.1337,                 2.2012,                 1.1835,                 1.1595,                  2.299,                  1.162,             0.00097168,             0.00097168,             0.00097168
                     22,                 1.0179,                0.88809,                  1.105,                 1.1176,                 1.0597,                 1.1115,                0.39258,                0.42186,                0.32785,                 0.1728,                 1.1945,                   2.44,                 1.1821,                 1.2081,                 2.4889,                 1.1636,             0.00096435,             0.00096435,             0.00096435
                     23,                 1.0055,                0.87181,                 1.0953,                 1.1071,                  1.043,                 1.1022,                0.43766,                0.46711,                0.34927,                0.18542,                 1.1302,                 2.4214,                 1.1758,                  1.146,                 2.5236,                 1.1575,             0.00095702,             0.00095702,             0.00095702
                     24,                 1.0061,                0.86274,                 1.0926,                 1.1132,                 1.0322,                 1.1034,                 0.4169,                0.45854,                 0.3545,                0.19385,                 1.1124,                 2.4028,                 1.1542,                  1.129,                 2.4317,                 1.1356,             0.00094968,             0.00094968,             0.00094968
